name,prompt,negative_prompt
新海诚,"masterpiece, best quality,","EasyNegative, illustration, 3d, sepia, painting, cartoons, sketch, (worst quality:2), (low quality:2), (normal quality:2), lowres, bad anatomy, normal quality, ((monochrome)), ((grayscale))"
修手,"good hands,","bad-hands-5,bad hands, fewer digits, extra digit"
AI推文,"((masterpiece),(Highest picture quality),(Master's work),(8K wallpaper),(ray tracing),Depth of field,finely detail,best quality, high resolution illustration,Cinematic Lighting),","EasyNegative, ng_deepnegative, (low_quality:1.4), (worst_quality:1.4), (badhand:1.1),collage, artist_name, signature, artist_logo, watermark,NSFW,(worst quality:2),(low quality:2),(normal quality:2),lowres,normal quality,((monochrome)),((grayscale)),skin spots,acnes,skin blemishes,age spot,(ugly:1.331),(duplicate:1.331),(morbid:1.21),(tranny:1.331),mutated hands,(poorly drawn hands:1.5),blurry,(bad anatomy:1.21),(bad proportions:1.331),extra limbs,(disfigured:1.331),(missing arms:1.331),(extra legs:1.331),(fused fingers:1.61051),(too many fingers:1.61051),(unclear eyes:1.331),lowers,bad hands,missing fingers,extra digit,bad  hands,missing fingers,(((extra arms and legs))),(EasyNegative:0.8),(badhand:0.8),nfsw,sketches, (worst quality:2), (low quality:2),lowres, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head, lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, ,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, extra arms, extra leg, extra foot,, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,"
抽卡1,"1girl, food, candy, solo, lollipop, animal ears, black hair, controller, sleeves past wrists, can, hair ornament, game controller, horns, ahoge, streaked hair, long sleeves, blue eyes, multicolored hair, stuffed toy, swirl lollipop, white hair, animal ear fluff, long hair, fang, :d, bangs, thighhighs, twintails, socks, stuffed animal, smile, holding, wooden floor, virtual youtuber, bandaid, looking at viewer, off shoulder, monster energy, knees up, blush, asymmetrical legwear, puffy long sleeves, open mouth, shirt, candy wrapper, low twintails, cat ears, feet out of frame, hairclip, energy drink, object hug, choker, mouse (computer), bandaid on face",
抽卡2,"1girl, solo, skirt, animal ears, frilled skirt, shirt, frills, long hair, smile, flower, hair ornament, tail, hair flower, white shirt, outdoors, red skirt, white flower, sleeveless, hairband, :d, brown eyes, sleeveless shirt, day, looking at viewer, blush, bangs, animal ear fluff, collared shirt, striped, bow, hair between eyes, blonde hair, open mouth, ribbon, black hairband, cloud, very long hair, building, center frills, sky, dog girl, hair ribbon, standing, dog tail, red bow",
抽卡3,"1girl, animal ears, dress, braid, flower, pink dress, solo, smile, outdoors, twin braids, white flower, hat, long sleeves, animal ear fluff, closed mouth, bug, long hair, butterfly, pink headwear, bangs, day, frilled dress, frills, bow, red eyes, blush, sleeves past wrists, sailor collar, hair bow, virtual youtuber, beret, sailor dress, hair ornament, looking at viewer, yellow flower, white sailor collar, brown hair, pink flower, sky, hair between eyes, low twintails, twintails, flower field, hand up",
抽卡4,"1girl, animal ears, tail, pink hair, virtual youtuber, smile, ahoge, long hair, lying, frills, solo, looking at viewer, animal ear fluff, blush, long sleeves, dress, pillow, bangs, heart, closed mouth, frilled hairband, multicolored hair, cat girl, pink eyes, on stomach, stuffed toy, very long hair, cat ears, frilled dress, hair between eyes, pink dress, on bed, stuffed animal, hairband, pajamas",
抽卡5,"1girl, animal ears, shirt, heterochromia, outdoors, skirt, tail, white shirt, collared shirt, blue eyes, bow, open clothes, day, solo, jacket, long hair, smile, animal ear fluff, open jacket, black jacket, hood down, dress shirt, pleated skirt, long sleeves, hood, hair bow, :d, hooded jacket, sky, bangs, red eyes, puffy sleeves, puffy long sleeves, cloud, grey hair, grey skirt, very long hair, blue sky, outstretched arms, hair between eyes, black bow, fang, looking at viewer, two side up, blush, open mouth, dutch angle, sleeves past wrists, fox tail, fox ears",
抽卡6,"1girl, animal ears, solo, hat, skirt, pink hair, shirt, halloween bucket, white shirt, animal ear fluff, cat ears, witch hat, candy wrapper, twintails, holding, black headwear, long hair, frilled skirt, bow, long sleeves, blush, looking at viewer, frills, bangs, basket, food, tail, cat girl, very long hair, cat tail, puffy sleeves, purple skirt, candy, hair ornament, :o, purple bow, purple eyes, striped, puffy long sleeves, halloween, depth of field, candy hair ornament, blurry, holding basket, pink bow, blurry background, striped bow, food-themed hair ornament, scrunchie, fang, black skirt, detached sleeves, hands up, layered skirt, hat bow, open mouth, parted lips, polka dot",
抽卡7,"1girl, food, candy, solo, lollipop, animal ears, black hair, controller, sleeves past wrists, can, hair ornament, game controller, horns, ahoge, streaked hair, long sleeves, blue eyes, multicolored hair, stuffed toy, swirl lollipop, white hair, animal ear fluff, long hair, fang, :d, bangs, thighhighs, twintails, socks, stuffed animal, smile, holding, wooden floor, virtual youtuber, bandaid, looking at viewer, off shoulder, monster energy, knees up, blush, asymmetrical legwear, puffy long sleeves, open mouth, shirt, candy wrapper, low twintails, cat ears, feet out of frame, hairclip, energy drink, object hug, choker, mouse (computer), bandaid on face",
抽卡8,"multiple girls, 2girls, arona (blue archive), skirt, pantyhose, halo, blue eyes, hair over one eye, blue hair, braid, school uniform, shirt, sailor collar, pleated skirt, white skirt, long hair, white hair, holding hands, white sailor collar, bangs, smile, serafuku, black shirt, white choker, very long hair, choker, parted lips, long sleeves, hairband, :d, ribbon, black skirt, neckerchief, black serafuku, white neckerchief, hair ribbon, blue shirt, grey eyes, puffy long sleeves, single braid, water, looking at viewer, white bow, black pantyhose, interlocked fingers, blush, open mouth, bow, open clothes, multicolored hair, white hairband",
抽卡9,"1girl, solo, shorts, white shorts, blue eyes, white background, two side up, hood, long hair, jacket, short shorts, bangs, simple background, blush, long sleeves, parted lips, hood down, blue jacket, looking at viewer, brown hair, hooded jacket, puffy long sleeves, pom pom (clothes), :o, collarbone, hair ornament, drawstring, puffy sleeves, sleeves past wrists, hair bobbles",
抽卡11,"1girl, food, candy, solo, lollipop, animal ears, black hair, controller, sleeves past wrists, can, hair ornament, game controller, horns, ahoge, streaked hair, long sleeves, blue eyes, multicolored hair, stuffed toy, swirl lollipop, white hair, animal ear fluff, long hair, fang, :d, bangs, thighhighs, twintails, socks, stuffed animal, smile, holding, wooden floor, virtual youtuber, bandaid, looking at viewer, off shoulder, monster energy, knees up, blush, asymmetrical legwear, puffy long sleeves, open mouth, shirt, candy wrapper, low twintails, cat ears, feet out of frame, hairclip, energy drink, object hug, choker, mouse (computer), bandaid on face",
抽卡12,"1girl, wings, animal ears, tail, solo, purple hair, virtual youtuber, braid, green eyes, sleeveless, dress, demon wings, smile, looking at viewer, +_+, white dress, two side up, blurry background, blush, bow, :d, open mouth, sleeveless dress, ribbon, center frills, indoors, bangs, demon tail, bat wings, hair between eyes, hair ornament, bare shoulders, blurry, blue bow, star (symbol)",
抽卡13,"1girl, food, candy, solo, lollipop, animal ears, black hair, controller, sleeves past wrists, can, hair ornament, game controller, horns, ahoge, streaked hair, long sleeves, blue eyes, multicolored hair, stuffed toy, swirl lollipop, white hair, animal ear fluff, long hair, fang, :d, bangs, thighhighs, twintails, socks, stuffed animal, smile, holding, wooden floor, virtual youtuber, bandaid, looking at viewer, off shoulder, monster energy, knees up, blush, asymmetrical legwear, puffy long sleeves, open mouth, shirt, candy wrapper, low twintails, cat ears, feet out of frame, hairclip, energy drink, object hug, choker, mouse (computer), bandaid on face",
抽卡14,"1girl, skirt, solo, heterochromia, smile, thighhighs, animal ears, wings, blue eyes, halo, pink flower, flower, green eyes, shirt, sailor collar, black thighhighs, arm up, ahoge, pleated skirt, pink skirt, pink hair, long sleeves, hair between eyes, sitting, bangs, closed mouth, neckerchief, blush, white shirt, school uniform, cherry blossoms, white wings, hair flower, feathered wings, hair ornament, serafuku, open clothes, looking at viewer, white sailor collar, petals, cardigan, outdoors, depth of field, blurry, puffy sleeves, black nails, virtual youtuber, sleeves past wrists, tail, nail polish, animal ear fluff, detached wings, puffy long sleeves",
抽卡15,"1girl, skirt, solo, heterochromia, smile, thighhighs, animal ears, wings, blue eyes, halo, pink flower, flower, green eyes, shirt, sailor collar, black thighhighs, arm up, ahoge, pleated skirt, pink skirt, pink hair, long sleeves, hair between eyes, sitting, bangs, closed mouth, neckerchief, blush, white shirt, school uniform, cherry blossoms, white wings, hair flower, feathered wings, hair ornament, serafuku, open clothes, looking at viewer, white sailor collar, petals, cardigan, outdoors, depth of field, blurry, puffy sleeves, black nails, virtual youtuber, sleeves past wrists, tail, nail polish, animal ear fluff, detached wings, puffy long sleeves",
抽卡16,"1girl, animal ears, cat ears, one eye closed, tail, purple eyes, on side, long hair, cat tail, stuffed toy, solo, cat girl, animal ear fluff, lying, stuffed animal, frilled pillow, dress, barefoot, pillow, frills, frilled dress, long sleeves, pink dress, object hug, bangs, very long hair, looking at viewer, bed sheet, open mouth, blush, fang, ;o",
抽卡17,"1girl, cat, hat, bag, skirt, long hair, heterochromia, blue eyes, beret, smile, very long hair, solo, sitting, bow, animal, outdoors, sailor collar, blue headwear, pleated skirt, bangs, school uniform, blue skirt, tree, hair ornament, white sailor collar, :d, long sleeves, black bow, white hair, shirt, purple eyes, hairclip, bench, day, blush, open mouth, blue shirt, looking at viewer, feet out of frame, white cat, shoulder bag, on bench, puffy long sleeves, serafuku, sitting on bench, collarbone",
抽卡18,"1girl, stuffed toy, stuffed animal, solo, thighhighs, candy, skirt, food, smile, purple eyes, long hair, no shoes, criss-cross halter, multicolored hair, blue hair, hair bun, double bun, lollipop, white thighhighs, wariza, two side up, puffy sleeves, short sleeves, sitting, puffy short sleeves, :d, pink skirt, swirl lollipop, looking at viewer, virtual youtuber, open mouth, blush, halterneck, purple hair, bare shoulders, hair ornament, star (symbol), very long hair, stuffed cat, bangs, detached sleeves, frills, pink hair, object hug, frilled skirt, midriff, streaked hair, crop top, teddy bear",
抽卡19,"1girl, skirt, solo, animal ears, one eye closed, blue eyes, puffy long sleeves, shirt, outdoors, white shirt, pleated skirt, pantyhose, sailor collar, flower, bow, long hair, puffy sleeves, bangs, jacket, cat ears, open clothes, very long hair, animal ear fluff, tail, grey skirt, black sailor collar, day, smile, hair ornament, long sleeves, ;d, open jacket, sleeves past wrists, school uniform, hood, white flower, black skirt, black bow, hooded jacket, white pantyhose, cat tail, blue bow, sky, fang, halo, cat girl, looking at viewer, serafuku, v, blue jacket, blush, cloud, hood down, grey hair, blue flower, blue sky, hair flower, hands up, blue hair, grey sailor collar, tree",
抽卡20,"1girl, animal ears, cat ears, tail, long hair, cat tail, cat girl, dress, pink dress, pink hair, lying, solo, smile, frilled dress, pillow, purple eyes, frills, animal ear fluff, on back, looking at viewer, couch, long sleeves, bangs, open mouth, cat, :d, blush, very long hair, stuffed toy, on couch",
